"uuid","skill_name","level"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","CakePHP","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","CakePHP","ADVANCED"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","Cassandra","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Cassandra","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","chef","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","chef","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","CI/CD","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","CI/CD","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","CircleCI","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","CircleCI","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Cloud Computing","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","cloud storage","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","CloudFormation","NOVICE"
