"uuid","skill_name","level"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Git","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","JavaScript","NOVICE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Scrum","INTERMEDIATE"
"c777661c-3351-4de0-b115-9898ff62d1d8","Photo Editing","NOVICE"
"81004abb-0743-4d65-80da-3177422b6a04","InVision","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS ECS","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS Lambda","ADVANCED"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Hadoop","INTERMEDIATE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","C (Embedded systems)","NOVICE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Kafka","INTERMEDIATE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Kinesis","INTERMEDIATE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","NoSQL DBs","INTERMEDIATE"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS EC2","ADVANCED"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS Athena","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Design Sprints","ADVANCED"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","SpringBoot","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Risk Management","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Spring Cloud","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS Cloudwatch","ADVANCED"
"7905ee3b-dcd9-4e8e-bcea-2efe939698d7","Unit testing","ADVANCED"
"7905ee3b-dcd9-4e8e-bcea-2efe939698d7","Web Design","ADVANCED"
"7905ee3b-dcd9-4e8e-bcea-2efe939698d7","Progressive Web Apps","ADVANCED"
"e6f44b9f-d259-4686-8acc-c8bf7036f098","Progressive Web Apps","NOVICE"
"1fbcefd9-78e4-477a-a4c3-7ee2aaa80124","GraphQL","INTERMEDIATE"
"ae019919-79d9-4d02-9aeb-cab166d971e9","iOS","NOVICE"
"1fbcefd9-78e4-477a-a4c3-7ee2aaa80124","Express","INTERMEDIATE"
"0797fe1e-9f45-44f3-9f62-a939ba8ade7d","Heuristic Evaluations","INTERMEDIATE"
"7905ee3b-dcd9-4e8e-bcea-2efe939698d7","Styled components","ADVANCED"
"e70012c9-bfcd-46a3-870e-01cf18acead4",".NET","NOVICE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS","EXPERT"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS ECS","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Data Infrastructure","INTERMEDIATE"
"1fbcefd9-78e4-477a-a4c3-7ee2aaa80124","Jest","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Hadoop","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Map Reduce","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","MySQL","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","New Relic","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Terraform","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Java","EXPERT"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS Route53","INTERMEDIATE"
"81004abb-0743-4d65-80da-3177422b6a04","HTML5","ADVANCED"
"1c100ebc-fafc-43ab-9289-f1ee6c49158c","GraphQL","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS CodeDeploy","INTERMEDIATE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","TestCafe","NOVICE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Natural Language Processing","NOVICE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","apache","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","App/Play Store process","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","C#","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","App Store process","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS IAM","EXPERT"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS VPC","ADVANCED"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS Cloudwatch","ADVANCED"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS VPC","ADVANCED"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS IAM","ADVANCED"
